#Frame   LVTKL[native] LVTKL[nonnative] LVTKL[mindist] LVTKL[maxdist]
       1            34                0         3.0752        17.8357
       2            18                6         3.2314        17.0379
       3             8                5         3.2864        18.2897
       4            17                9         3.0549        17.9192
       5            14                4         3.0866        17.4690
       6             7               13         3.2456        17.8616
       7            17                8         3.1221        17.9058
       8            11                4         3.2056        18.3189
       9            14                8         3.3528        18.2649
      10            18               12         3.2331        17.9072
      11            12                7         3.0438        17.9028
      12            17               16         3.0067        17.6213
      13            10               18         3.2328        17.9665
      14             9               13         3.1433        15.8141
      15             1               20         3.2981        15.2733
      16             1               21         3.1617        15.7269
      17             3               21         3.3146        15.1854
      18             0               24         3.0508        14.7461
      19             1               23         3.3373        15.2077
      20             4               18         2.9743        16.9494
      21             4               13         3.3007        15.2770
      22             3               29         3.0527        14.6487
      23             2               19         3.0412        14.8458
      24             0                9         3.4617        15.4078
      25             1               23         3.0233        14.9958
      26             2               19         2.9441        14.3964
      27             1               19         3.4086        15.3867
      28             2               14         3.2457        15.3782
      29             1               15         3.1742        16.3786
      30             0               22         2.9186        16.7792
      31             0               28         3.0927        16.3534
      32             0               17         3.0775        16.9919
      33             0               24         3.2085        16.3267
      34             0               25         3.4529        16.9353
      35             0               24         3.1973        17.2597
      36             0               20         3.3280        16.9216
      37             1               33         3.1927        16.5977
      38             0               32         3.1583        17.7423
      39             0               25         3.2195        17.4438
      40             0               17         3.6407        17.4305
      41             0               38         3.1292        17.7217
      42             0               24         3.2418        17.1239
      43             0               20         3.2892        16.9499
      44             1               36         3.2944        16.8966
      45             1               35         3.0733        15.6836
      46             3               33         3.1724        16.4910
      47             0               32         3.2518        16.6646
      48             1               30         3.1043        17.1566
      49             0               22         2.9959        17.2090
      50             0               35         3.0980        17.4380
      51             1               20         3.4612        16.9197
      52             0               24         2.8900        16.8427
      53             1               33         3.1891        17.5520
      54             0               22         3.1709        17.1890
      55             2               27         3.1438        16.6188
      56             2               12         3.2443        15.4604
      57             1               18         3.2122        16.0053
      58             0               10         3.5336        17.5809
      59             0               20         3.2998        18.3427
      60             0               12         3.3461        18.0608
      61             0               25         3.0258        18.9545
      62             0               24         3.4700        19.1389
      63             0               20         3.2913        18.0927
      64             0               34         3.0411        18.9250
      65             0               19         3.2798        18.6960
      66             0               12         3.0789        18.6955
      67             0               21         3.0300        17.1469
      68             0               13         3.4941        16.7300
      69             0               27         3.1945        18.0663
      70             0               28         3.1828        17.4066
      71             0               24         3.0918        18.2669
      72             1               28         3.1988        17.8125
      73             0               34         3.2109        17.1392
      74             0               29         3.1891        17.6601
      75             0               31         3.1972        17.9366
      76             0               30         3.0761        17.7643
      77             0               24         3.0812        19.0983
      78             0               24         3.0950        18.3083
      79             0               25         3.2514        18.2707
      80             0               24         3.3121        18.7158
      81             0               31         3.0266        18.3607
      82             0               17         3.1679        18.6466
      83             0               21         3.0760        18.3926
      84             0               20         2.8877        19.4414
      85             0               14         3.2716        19.5872
      86             0               21         3.2429        19.2701
      87             0               19         3.2742        18.9007
      88             0               17         2.8901        19.4493
      89             0               21         3.0420        19.3823
      90             0               26         3.2047        18.9552
      91             0               18         3.4497        18.8954
      92             0               20         2.9605        18.7109
      93             0               18         2.9791        17.9276
      94             0               22         2.9907        17.3929
      95             0               20         3.0821        17.8148
      96             0               18         3.3949        18.4486
      97             0               29         3.2379        17.6586
      98             1               23         3.1677        17.4174
      99             0               16         2.9962        17.3584
     100             0               12         3.4612        18.2619
     101             0               21         3.4299        18.0269
     102             1               25         2.9597        17.5895
     103             1               27         2.9633        18.2151
     104             0               28         3.2278        17.4336
     105             0               19         3.2870        17.3154
     106             2               40         2.9281        16.9638
     107             1               28         3.2644        16.0499
     108             1               27         2.9290        17.5352
     109             1               39         3.0124        16.8963
     110             0               36         3.0195        17.3972
     111             0               15         3.5429        17.8928
     112             0               17         3.2598        18.7727
     113             0               16         3.2806        18.2225
     114             0                6         3.5920        18.3164
     115             0               25         2.9118        18.8412
     116             0                9         3.5342        17.3557
     117             2               35         2.7978        16.1669
     118             2               23         3.4088        15.7656
     119             2               21         3.1306        15.6650
     120             4               14         3.1802        15.4779
     121             4               22         3.1316        15.5185
     122             1               15         3.2769        16.8626
     123             0               29         3.3772        16.8346
     124             0               28         2.9080        17.4879
     125             0               28         3.0940        17.6553
     126             0               24         3.4274        16.6069
     127             0               37         2.9470        16.7949
     128             0               29         3.0337        16.7164
     129             0               28         3.2637        17.4672
     130             0               24         3.1115        17.0027
     131             0               23         3.3043        17.6184
     132             2               39         3.1579        17.0994
     133             0               22         3.2175        18.8003
     134             0               17         3.2683        18.4889
     135             0               25         3.2191        18.2715
     136             0               26         3.4573        17.4550
     137             0               39         3.0982        17.2340
     138             0               20         3.0350        16.9897
     139             0               23         3.2940        18.2150
     140             0               21         3.3672        17.8723
     141             0               27         3.1833        18.5839
