0 D 3.5345 3.0752
0.01 D 3.4769 3.2314
0.02 D 3.3866 3.2864
0.03 D 3.3936 3.0549
0.04 D 3.2351 3.0866
0.05 D 3.0427 3.2456
0.06 D 3.3002 3.1221
0.07 D 3.1231 3.2056
0.08 D 2.8890 3.3528
0.09 D 3.4554 3.2331
0.1 D 3.4018 3.0438
0.11 D 2.9312 3.0067
0.12 D 3.5908 3.2328
0.13 D 2.9479 3.1433
0.14 D 3.1037 3.2981
0.15 D 2.9293 3.1617
0.16 D 3.1694 3.3146
0.17 D 2.8793 3.0508
0.18 D 3.1318 3.3373
0.19 D 3.0911 2.9743
0.2 D 3.4891 3.3007
0.21 D 2.9454 3.0527
0.22 D 3.2844 3.0412
0.23 D 2.9976 3.4617
0.24 D 3.4979 3.0233
0.25 D 3.4114 2.9441
0.26 D 3.1665 3.4086
0.27 D 3.0805 3.2457
0.28 D 3.0221 3.1742
0.29 D 3.5243 2.9186
0.3 D 3.1748 3.0927
0.31 D 3.2848 3.0775
0.32 D 3.1547 3.2085
0.33 D 3.1012 3.4529
0.34 D 3.0675 3.1973
0.35 D 3.2158 3.3280
0.36 D 3.1937 3.1927
0.37 D 3.0370 3.1583
0.38 D 3.1488 3.2195
0.39 D 3.3268 3.6407
0.4 D 3.2416 3.1292
0.41 D 3.3397 3.2418
0.42 D 3.2367 3.2892
0.43 D 3.2092 3.2944
0.44 D 3.3492 3.0733
0.45 D 3.1104 3.1724
0.46 D 3.1838 3.2518
0.47 D 3.1626 3.1043
0.48 D 3.2776 2.9959
0.49 D 2.9204 3.0980
0.5 D 3.0074 3.4612
0.51 D 3.1376 2.8900
0.52 D 3.1129 3.1891
0.53 D 3.1457 3.1709
0.54 D 3.2106 3.1438
0.55 D 3.1756 3.2443
0.56 D 3.1644 3.2122
0.57 D 3.1790 3.5336
0.58 D 3.0860 3.2998
0.59 D 3.0299 3.3461
0.6 D 3.1994 3.0258
0.61 D 3.0779 3.4700
0.62 D 3.1676 3.2913
0.63 D 3.2129 3.0411
0.64 D 3.3936 3.2798
0.65 D 3.0153 3.0789
0.66 D 2.9813 3.0300
0.67 D 3.2374 3.4941
0.68 D 3.2178 3.1945
0.69 D 3.0293 3.1828
0.7 D 3.1385 3.0918
0.71 D 2.8875 3.1988
0.72 D 3.0728 3.2109
0.73 D 2.8539 3.1891
0.74 D 3.0133 3.1972
0.75 D 2.9007 3.0761
0.76 D 3.2591 3.0812
0.77 D 3.0268 3.0950
0.78 D 2.9156 3.2514
0.79 D 3.1569 3.3121
0.8 D 2.9033 3.0266
0.81 D 2.9476 3.1679
0.82 D 2.9215 3.0760
0.83 D 2.8832 2.8877
0.84 D 2.9510 3.2716
0.85 D 2.9614 3.2429
0.86 D 3.2611 3.2742
0.87 D 2.8623 2.8901
0.88 D 3.1231 3.0420
0.89 D 3.2795 3.2047
0.9 D 3.1567 3.4497
0.91 D 3.0376 2.9605
0.92 D 3.0030 2.9791
0.93 D 3.2139 2.9907
0.94 D 2.9941 3.0821
0.95 D 3.2685 3.3949
0.96 D 3.2394 3.2379
0.97 D 2.9672 3.1677
0.98 D 3.2543 2.9962
0.99 D 3.2960 3.4612
1 D 3.2051 3.4299
1.01 D 2.9586 2.9597
1.02 D 3.0128 2.9633
1.03 D 3.3097 3.2278
1.04 D 3.0704 3.2870
1.05 D 3.2212 2.9281
1.06 D 3.1053 3.2644
1.07 D 3.2676 2.9290
1.08 D 3.3678 3.0124
1.09 D 3.1946 3.0195
1.1 D 3.0934 3.5429
1.11 D 3.2899 3.2598
1.12 D 3.3510 3.2806
1.13 D 3.1638 3.5920
1.14 D 2.9560 2.9118
1.15 D 3.1573 3.5342
1.16 D 2.9761 2.7978
1.17 D 3.0243 3.4088
1.18 D 3.2171 3.1306
1.19 D 3.2991 3.1802
1.2 D 3.1621 3.1316
1.21 D 3.0373 3.2769
1.22 D 3.0528 3.3772
1.23 D 3.1571 2.9080
1.24 D 3.2837 3.0940
1.25 D 3.3346 3.4274
1.26 D 3.2272 2.9470
1.27 D 2.9431 3.0337
1.28 D 3.1994 3.2637
1.29 D 3.3625 3.1115
1.3 D 2.9901 3.3043
1.31 D 3.0924 3.1579
1.32 D 3.0180 3.2175
1.33 D 3.3041 3.2683
1.34 D 3.2907 3.2191
1.35 D 3.0730 3.4573
1.36 D 3.1560 3.0982
1.37 D 2.9066 3.0350
1.38 D 3.1850 3.2940
1.39 D 3.3072 3.3672
1.4 D 3.0170 3.1833
1.41 D 3.0659 3.1734
1.42 D 3.1484 3.3559
1.43 D 3.0333 3.2196
1.44 D 3.1832 3.1932
1.45 D 3.1586 3.2701
1.46 D 2.9776 3.1862
1.47 D 3.2381 3.3072
1.48 D 3.2201 3.2675
1.49 D 3.0137 3.0325
1.5 D 3.0578 3.2771
1.51 D 3.1908 3.3385
1.52 D 3.0313 3.0920
1.53 D 3.0728 3.1106
1.54 D 3.0269 3.1978
1.55 D 3.2661 3.1884
1.56 D 3.0032 2.8979
1.57 D 2.9993 3.0195
1.58 D 3.1935 3.0395
1.59 D 3.0237 3.2079
1.6 D 2.9470 3.0279
1.61 D 2.9171 3.2464
1.62 D 3.2251 3.3639
1.63 D 3.2602 2.9387
1.64 D 2.9178 3.1432
1.65 D 3.3171 3.1604
1.66 D 3.1770 3.2702
1.67 D 3.2637 3.0634
1.68 D 3.0205 3.0503
1.69 D 3.0035 3.1658
1.7 D 3.1512 2.9903
1.71 D 3.3584 3.3541
1.72 D 3.0678 3.3503
1.73 D 3.0996 3.2008
1.74 D 3.1506 3.3246
1.75 D 3.2904 3.6343
1.76 D 3.2353 3.2665
1.77 D 3.2326 3.1889
1.78 D 3.2739 3.3673
1.79 D 3.4474 3.0935
1.8 D 2.9468 3.2049
1.81 D 3.2699 3.3647
1.82 D 3.0604 3.1236
1.83 D 3.3799 3.1610
1.84 D 3.2373 3.0800
1.85 D 3.1456 3.2107
1.86 D 3.0359 3.2484
1.87 D 3.1913 2.8922
1.88 D 3.1664 3.3349
1.89 D 3.0908 2.9879
1.9 D 3.0269 3.1666
1.91 D 3.0961 3.1379
1.92 D 2.8884 3.1560
1.93 D 3.4207 3.0274
1.94 D 3.2545 3.2115
1.95 D 3.3021 3.4230
1.96 D 3.3117 3.2436
1.97 D 3.1627 3.1428
1.98 D 3.3560 3.1063
1.99 D 3.0827 3.2526
2 D 3.0669 3.2203
2.01 D 3.1587 3.3231
2.02 D 2.9711 3.3405
2.03 D 2.9763 3.2360
2.04 D 2.9445 3.1280
2.05 D 3.2424 2.9967
2.06 D 3.0823 3.0264
2.07 D 3.2797 3.3074
2.08 D 3.4295 3.2136
2.09 D 3.2188 3.1158
2.1 D 3.3682 3.3206
2.11 D 3.1191 3.3519
2.12 D 3.1077 2.9899
2.13 D 2.8404 3.1830
2.14 D 3.2023 3.2247
2.15 D 2.9919 3.3715
2.16 D 3.3316 3.1354
2.17 D 3.2776 3.2436
2.18 D 3.0178 3.4985
2.19 D 3.0547 3.1868
2.2 D 3.0406 3.0884
2.21 D 3.3602 3.2238
2.22 D 2.9767 3.0690
2.23 D 3.1568 3.3092
2.24 D 2.9852 3.3327
2.25 D 3.2165 3.2588
2.26 D 2.9222 3.0854
2.27 D 3.1088 3.3338
2.28 D 3.3774 3.2106
2.29 D 2.9067 2.7860
2.3 D 3.2883 3.0018
2.31 D 3.2423 3.0627
2.32 D 3.3957 2.9459
2.33 D 2.8254 3.2436
2.34 D 3.0885 2.8529
2.35 D 3.2642 3.1640
2.36 D 2.9984 3.1207
2.37 D 3.1973 2.8310
2.38 D 3.3627 3.2260
2.39 D 3.3696 2.8427
2.4 D 3.5117 3.1822
2.41 D 3.0994 3.0461
2.42 D 2.9314 3.0744
2.43 D 3.0489 2.9134
2.44 D 3.2044 2.9458
2.45 D 3.3662 3.4507
2.46 D 3.1464 3.1444
2.47 D 2.9898 3.0207
2.48 D 3.0460 2.9844
2.49 D 3.2426 3.3285
2.5 D 3.0631 3.2622
2.51 D 3.1418 3.0992
2.52 D 3.2902 3.1072
2.53 D 3.3053 3.2248
2.54 D 3.1913 3.4730
2.55 D 3.0252 3.4598
2.56 D 2.9883 2.8659
2.57 D 3.1023 3.1151
2.58 D 3.1590 3.3025
2.59 D 3.2283 3.1655
2.6 D 2.8929 3.2089
2.61 D 3.1564 3.0877
2.62 D 3.0688 3.0706
2.63 D 3.0266 2.8281
2.64 D 2.9662 3.1753
2.65 D 3.2504 3.0526
2.66 D 3.2521 3.3063
2.67 D 3.2327 3.2756
2.68 D 3.1166 3.1436
2.69 D 3.2195 3.1723
2.7 D 3.2426 3.1022
2.71 D 3.0853 3.3220
2.72 D 3.1667 3.3129
2.73 D 3.1880 2.9062
2.74 D 3.2333 3.2542
2.75 D 3.2090 3.1164
2.76 D 3.2873 2.8920
2.77 D 2.9370 3.0412
2.78 D 3.3232 3.1874
2.79 D 3.3009 3.3527
2.8 D 3.2023 3.3350
2.81 D 2.9740 3.5787
2.82 D 3.2761 3.2523
2.83 D 2.9836 3.1643
2.84 D 3.0880 3.0516
2.85 D 3.1442 3.4202
2.86 D 3.4486 3.2727
2.87 D 3.2881 3.0342
2.88 D 3.1167 3.3852
2.89 D 3.2597 3.1431
2.9 D 2.9422 3.3879
2.91 D 3.2181 3.1825
2.92 D 3.2338 3.1402
2.93 D 3.4495 3.0420
2.94 D 3.2119 3.2624
2.95 D 3.0117 3.0959
2.96 D 3.1688 3.3033
2.97 D 3.1783 3.2733
2.98 D 2.9907 3.2923
2.99 D 3.0852 3.4342
3 D 3.3003 3.1663
3.01 D 3.2770 3.2154
3.02 D 3.5128 3.2250
3.03 D 3.0163 3.2039
3.04 D 3.4326 2.9407
3.05 D 3.0925 3.0529
3.06 D 3.0929 3.2868
3.07 D 3.4289 3.2527
3.08 D 3.2562 3.2082
3.09 D 3.4463 3.3184
3.1 D 2.9844 3.9728
3.11 D 3.1169 3.2936
3.12 D 3.2612 3.3533
3.13 D 2.9356 2.8475
3.14 D 3.0446 3.2379
3.15 D 3.2576 3.2962
3.16 D 3.0160 3.1490
3.17 D 3.3506 2.7873
3.18 D 3.3554 3.1527
3.19 D 3.1534 3.3055
3.2 D 3.1114 3.0406
3.21 D 3.1720 3.2201
3.22 D 3.4983 3.0431
3.23 D 3.2724 3.3652
3.24 D 3.1336 3.5761
3.25 D 3.2502 3.3552
3.26 D 3.3548 3.3080
3.27 D 3.1488 3.2397
3.28 D 3.2737 3.1400
3.29 D 3.1946 3.0667
3.3 D 3.4427 3.2531
3.31 D 3.2862 3.0082
3.32 D 3.2097 3.1929
3.33 D 2.9738 3.1533
3.34 D 3.2106 3.0519
3.35 D 3.2368 3.5108
3.36 D 3.0710 3.4248
3.37 D 3.3192 2.9913
3.38 D 3.2121 3.1822
3.39 D 3.2607 3.2171
3.4 D 3.4346 3.1751
3.41 D 3.1305 3.0389
3.42 D 3.3133 3.1426
3.43 D 3.2341 3.3742
3.44 D 3.2705 3.2336
3.45 D 3.3754 2.8319
3.46 D 3.1003 3.0691
3.47 D 3.2980 3.0706
3.48 D 3.3415 3.2783
3.49 D 3.2251 3.2337
3.5 D 3.2400 3.3496
3.51 D 3.1980 3.3918
3.52 D 3.0767 3.3497
3.53 D 3.1797 2.9912
3.54 D 3.3376 3.1765
3.55 D 3.5130 3.5733
3.56 D 3.2497 2.7859
3.57 D 3.3202 3.1012
3.58 D 3.1234 3.3317
3.59 D 3.1630 3.4483
3.6 D 3.1367 3.3361
3.61 D 3.0001 3.1854
3.62 D 2.9760 3.1521
3.63 D 3.2814 3.0317
3.64 D 2.9616 3.0046
3.65 D 3.2814 3.3979
3.66 D 3.3705 3.1089
3.67 D 3.5480 3.3666
3.68 D 3.4748 3.2457
3.69 D 3.2744 2.9689
3.7 D 2.9794 3.0745
3.71 D 2.9851 3.6005
3.72 D 3.1245 3.1532
3.73 D 3.1363 3.2849
3.74 D 3.0536 3.3659
3.75 D 3.2402 3.2047
3.76 D 3.3511 2.9483
3.77 D 3.2638 3.1939
3.78 D 3.0469 3.1638
3.79 D 2.8934 3.0949
3.8 D 3.0942 3.1528
3.81 D 3.3170 3.1248
3.82 D 3.1566 3.2290
3.83 D 2.9055 2.8589
3.84 D 2.8976 3.0690
3.85 D 3.0054 2.8798
3.86 D 3.1081 2.9005
3.87 D 3.0809 2.7843
3.88 D 3.4550 2.9503
3.89 D 3.3713 2.9069
3.9 D 3.3329 2.9401
3.91 D 3.3616 2.8635
3.92 D 2.9540 2.7147
3.93 D 3.4336 2.9572
3.94 D 2.9831 3.2402
3.95 D 2.9670 2.8770
3.96 D 3.2248 3.2245
3.97 D 3.3831 2.8396
3.98 D 3.0383 2.8505
3.99 D 3.5154 3.1644
4 D 3.1460 2.9664
4.01 D 3.5109 3.1500
4.02 D 3.4379 3.3150
4.03 D 3.4055 2.9224
4.04 D 3.2573 2.9361
4.05 D 3.4061 2.8673
4.06 D 3.2684 2.9833
4.07 D 3.3239 2.6933
4.08 D 3.2318 2.8030
4.09 D 3.1286 2.9368
4.1 D 3.4195 2.9840
4.11 D 2.9277 2.9842
4.12 D 3.3286 2.8995
4.13 D 3.3425 2.9327
4.14 D 3.3609 2.9895
4.15 D 3.1558 2.8541
4.16 D 3.1014 3.0219
4.17 D 3.2371 3.2001
4.18 D 3.2284 2.8675
4.19 D 3.5264 3.2560
4.2 D 3.4660 2.9649
4.21 D 3.4142 2.9646
4.22 D 3.3902 3.1105
4.23 D 3.2189 2.7742
4.24 D 3.3407 2.9732
4.25 D 3.2415 3.0706
4.26 D 3.3745 2.9415
4.27 D 3.6907 3.0778
4.28 D 3.7536 3.0842
4.29 D 3.3342 3.0283
4.3 D 3.2952 2.8525
4.31 D 3.2089 2.8538
4.32 D 3.0974 2.9318
4.33 D 3.1777 2.8857
4.34 D 3.2494 2.9538
4.35 D 3.1487 3.1750
4.36 D 3.3428 2.7982
4.37 D 3.2741 2.8997
4.38 D 3.4164 2.8611
4.39 D 3.1247 3.0523
4.4 D 3.3572 2.9488
4.41 D 3.1501 2.9491
4.42 D 3.4890 3.3475
4.43 D 3.6608 3.0909
4.44 D 3.7294 2.7803
4.45 D 3.2799 2.9156
4.46 D 3.3596 2.9428
4.47 D 3.9011 3.0471
4.48 D 3.7248 3.1370
4.49 D 3.3874 2.9149
4.5 D 3.3927 2.6931
4.51 D 3.2615 3.0344
4.52 D 3.2886 3.1219
4.53 D 3.9046 3.1681
4.54 D 3.4132 3.5253
4.55 D 3.5844 3.1812
4.56 D 3.5321 3.2956
4.57 D 3.5165 2.8972
4.58 D 3.9780 2.8877
4.59 D 3.8183 3.2449
4.6 D 3.1458 3.3758
4.61 D 3.8380 3.2169
4.62 D 3.1461 3.2598
4.63 D 3.1083 3.3440
4.64 D 3.4359 3.1391
4.65 D 3.5410 3.3952
4.66 D 3.3204 3.0944
4.67 D 3.8529 3.2725
4.68 D 3.8574 2.9621
4.69 D 3.5579 3.0101
4.7 D 3.6878 3.0807
4.71 D 3.7733 3.1077
4.72 L 4.1164 3.0281
4.73 D 3.5608 3.3390
4.74 D 3.6690 3.3321
4.75 D 3.7730 3.2601
4.76 D 3.3531 3.0017
4.77 L 4.0411 2.9702
4.78 D 3.7719 3.2226
4.79 L 4.0444 2.9479
4.8 L 4.0667 3.1876
4.81 D 3.6804 3.1571
4.82 D 3.3830 3.1254
4.83 D 3.6524 3.1733
4.84 D 3.1494 3.5146
4.85 D 3.2417 3.2496
4.86 D 3.6305 2.9945
4.87 D 3.4837 3.0574
4.88 D 3.0670 3.1735
4.89 D 3.9037 3.0372
4.9 D 3.2389 3.1082
4.91 D 3.4873 3.0122
4.92 D 3.3829 3.2720
4.93 D 3.5224 3.2419
4.94 D 3.5232 3.2413
4.95 D 3.5490 3.6000
4.96 D 3.5669 2.9834
4.97 D 3.8410 3.0001
4.98 D 3.5440 3.1594
4.99 D 3.6389 2.9403
5 D 3.5822 3.3743
5.01 D 3.6132 3.2571
5.02 L 4.1987 3.2025
5.03 L 4.0724 3.1295
5.04 L 4.1488 3.4440
5.05 D 3.9251 3.4055
5.06 L 4.1951 3.0688
5.07 D 3.8533 3.0066
5.08 L 4.9778 2.8689
5.09 L 6.3539 3.2199
5.1 L 7.3660 3.2396
5.11 L 6.7978 2.9767
5.12 L 6.4331 2.9735
5.13 L 5.9586 3.1959
5.14 L 6.6144 3.2554
5.15 L 6.0047 3.2744
5.16 L 5.8741 3.2306
5.17 L 5.8109 3.3477
5.18 L 6.6487 3.2621
5.19 L 8.5347 3.2768
5.2 L 7.6847 2.9254
5.21 L 7.1191 3.1316
5.22 L 8.1775 3.5379
5.23 L 6.9137 3.2059
5.24 L 6.2733 3.4639
5.25 L 6.5318 3.1684
5.26 L 8.1440 3.2192
5.27 L 6.6975 3.3586
5.28 L 6.5061 2.9760
5.29 L 7.2665 3.3124
5.3 L 7.1452 3.2822
5.31 L 6.6231 3.2591
5.32 L 6.5833 3.2390
5.33 L 6.9690 3.3998
5.34 L 6.0400 3.0384
5.35 L 5.9622 3.0494
5.36 L 5.8422 3.0396
5.37 L 5.7099 2.8355
5.38 L 6.2178 3.0174
5.39 L 5.8204 3.2994
5.4 L 4.9086 3.0094
5.41 L 4.2467 2.8385
5.42 D 3.9504 3.3428
5.43 L 5.8704 3.0645
5.44 L 5.7172 2.9975
5.45 L 5.4488 3.0024
5.46 L 4.6083 3.0239
5.47 L 4.0936 3.2977
5.48 D 3.6000 3.1481
5.49 L 4.3902 3.3523
5.5 L 5.0630 2.9344
5.51 L 6.8369 3.1954
5.52 L 7.5396 3.4194
5.53 L 7.8838 3.4127
5.54 L 6.8547 3.0732
5.55 L 8.5084 3.2193
5.56 L 8.0842 3.1214
5.57 L 7.4692 3.0621
5.58 L 7.6641 2.8131
5.59 L 7.5069 2.7261
5.6 L 7.7041 2.9489
5.61 L 6.6679 3.4831
5.62 L 7.9386 2.8786
5.63 L 9.0176 2.7412
