run_type,seed,model,vina_kcal_mol,slahs_min_A,lvtkl_min_A,slahs_contact_le4A,lvtkl_contact_le4A,dual_contact_le4A
sensitivity,20260921,COMBO_026,-4.587,2.8881,2.8274,1,1,1
sensitivity,20260921,COMBO_027,-4.245,3.0655,3.5385,1,1,1
sensitivity,20260921,COMBO_028,-4.647,3.141,2.9526,1,1,1
sensitivity,20260921,COMBO_029,-4.37,3.6668,3.4369,1,1,1
sensitivity,20260921,COMBO_030,-4.534,3.6455,2.8217,1,1,1
sensitivity,20260921,COMBO_031,-4.862,2.9087,3.3962,1,1,1
sensitivity,20260921,COMBO_032,-5.008,3.0084,3.1217,1,1,1
sensitivity,20260921,COMBO_033,-4.727,3.1532,3.3307,1,1,1
sensitivity,20260921,COMBO_034,-4.499,3.0554,2.7952,1,1,1
sensitivity,20260921,COMBO_035,-4.643,2.9978,2.9207,1,1,1
sensitivity,20260921,COMBO_036,-4.481,3.2609,3.5877,1,1,1
sensitivity,20260921,COMBO_037,-4.856,2.8641,3.0376,1,1,1
sensitivity,20260921,COMBO_038,-4.747,3.0483,2.8857,1,1,1
sensitivity,20260921,COMBO_039,-4.568,3.1386,2.9675,1,1,1
sensitivity,20260921,COMBO_040,-4.452,2.8664,3.3764,1,1,1
sensitivity,20260921,COMBO_041,-4.366,3.112,2.9789,1,1,1
sensitivity,20260921,COMBO_042,-4.74,3.0915,2.8041,1,1,1
sensitivity,20260921,COMBO_043,-5.144,2.8038,3.0239,1,1,1
sensitivity,20260921,COMBO_044,-4.457,3.0015,2.8566,1,1,1
sensitivity,20260921,COMBO_045,-4.584,2.9686,3.0612,1,1,1
sensitivity,20260921,COMBO_046,-5.069,2.9089,3.4809,1,1,1
sensitivity,20260921,COMBO_047,-4.608,3.0859,3.116,1,1,1
sensitivity,20260921,COMBO_048,-4.697,2.9319,3.2535,1,1,1
sensitivity,20260922,COMBO_001,-4.925,2.8757,2.9284,1,1,1
sensitivity,20260922,COMBO_002,-4.233,3.0054,3.151,1,1,1
sensitivity,20260922,COMBO_003,-4.804,2.8649,3.0578,1,1,1
sensitivity,20260922,COMBO_004,-5.198,2.8489,3.4929,1,1,1
sensitivity,20260922,COMBO_005,-5.186,2.8017,2.9167,1,1,1
sensitivity,20260922,COMBO_006,-4.81,2.936,3.011,1,1,1
sensitivity,20260922,COMBO_007,-4.143,2.9053,2.8199,1,1,1
sensitivity,20260922,COMBO_008,-4.932,3.0774,2.9875,1,1,1
sensitivity,20260922,COMBO_009,-4.627,3.3364,2.9267,1,1,1
sensitivity,20260922,COMBO_010,-4.694,3.0706,3.111,1,1,1
sensitivity,20260922,COMBO_011,-4.665,3.3254,2.9555,1,1,1
sensitivity,20260922,COMBO_012,-4.56,2.7094,2.9009,1,1,1
sensitivity,20260922,COMBO_013,-4.836,3.4045,2.9358,1,1,1
sensitivity,20260922,COMBO_014,-4.789,2.9637,2.838,1,1,1
