filename,size_bytes,sha256,included_in_compact_package
COMBO_011_R28_PROD_10ns.dcd,92312276,44182d47f5f206ebc4b642f04f7b380aeda33b4719da254f6e71c4024d20a4ff,No
COMBO_011_R28_PROD_10to50ns.dcd,369248276,dd438454f188f037d39b5589f6167a78583ae5564f7c8768651b092822f58ca5,No
