#Time_ns State SLAHS_mindist_A LVTKL_mindist_A
1.98 D 3.2398 3.5116
1.99 D 2.9905 3.1899
2.00 D 3.1204 3.4112
2.01 D 3.1912 3.2115
2.02 D 3.0991 3.2264
2.03 D 3.2672 3.1592
2.04 D 3.2977 3.4075
2.05 D 3.2070 3.3511
2.06 D 3.0857 3.3332
2.07 D 3.2837 3.2781
2.08 D 3.2585 3.2328
2.09 D 3.1539 3.2192
2.10 D 3.1528 3.1397
2.11 D 3.1394 3.2739
2.12 D 3.2104 3.2547
2.13 D 3.3389 3.6769
2.14 D 3.4348 3.3341
2.15 D 2.8441 3.9459
2.16 D 2.9804 3.2839
2.17 D 3.1097 3.0194
2.18 D 3.0240 3.0601
2.19 D 2.9998 3.4577
2.20 D 3.0523 3.4432
2.21 D 3.1509 3.7390
2.22 D 3.2524 3.3775
2.23 D 3.0745 3.2987
2.24 D 2.9539 3.3563
2.25 D 3.2539 3.5884
2.26 D 2.8544 3.5486
2.27 D 3.0327 3.6488
2.28 D 3.1849 3.2051
2.29 D 3.2287 3.1387
2.30 D 3.0781 3.4708
2.31 D 3.3059 3.3536
2.32 D 3.3120 3.5067
2.33 D 3.0679 3.6237
2.34 D 3.3733 3.4237
2.35 D 3.3569 3.3304
2.36 D 3.1568 3.0902
2.37 D 3.0904 2.9412
2.38 D 3.2605 3.1744
2.39 D 3.0785 3.0073
2.40 D 2.8867 3.2921
2.41 D 3.1614 2.9310
2.42 D 3.3003 2.8442
2.43 D 3.4888 2.6101
2.44 D 3.3022 2.6375
2.45 D 2.7580 3.0006
2.46 D 3.1171 2.6816
2.47 D 3.4434 2.7286
2.48 D 3.3543 3.1441
2.49 D 3.0471 3.4377
2.50 D 3.1997 2.9289
2.51 D 3.4859 2.8100
2.52 D 3.4010 3.4488
2.53 D 3.3077 2.7966
2.54 D 3.2600 2.8133
2.55 D 3.5988 3.1235
2.56 D 2.8188 3.6404
2.57 D 3.1435 3.3937
2.58 D 3.2903 3.0323
2.59 D 3.1707 3.4652
2.60 D 3.1271 3.2383
2.61 D 3.0145 3.3072
2.62 D 3.4191 2.9634
2.63 D 3.3865 3.2050
2.64 D 3.3547 2.9124
2.65 D 3.3031 3.0883
2.66 D 3.2730 2.9335
2.67 D 3.1710 3.3565
2.68 D 3.2647 3.3604
2.69 D 3.0074 3.3749
2.70 D 3.0306 3.2460
2.71 D 3.1609 3.2772
2.72 D 3.3630 2.9848
2.73 D 3.2413 3.1689
2.74 D 3.2390 2.9316
2.75 D 3.2679 3.1627
2.76 D 3.2117 2.9902
2.77 D 2.8172 3.1511
2.78 D 3.1919 3.2238
2.79 D 3.2677 3.0417
2.80 D 2.8757 2.9657
2.81 D 2.8308 3.3722
2.82 D 2.8532 3.2490
2.83 D 3.3023 3.5367
2.84 D 3.3354 3.3915
2.85 D 3.0404 3.5321
2.86 D 3.3470 3.2399
2.87 D 3.2862 2.8734
2.88 D 3.6176 3.1452
2.89 D 3.4905 2.7817
2.90 D 3.3360 3.0423
2.91 D 3.0470 3.0898
2.92 D 3.2082 2.8912
2.93 D 3.3141 3.3280
2.94 D 2.8486 3.4652
2.95 D 3.4723 3.2708
2.96 D 3.2572 3.4636
2.97 D 3.1073 3.4136
2.98 D 3.2879 3.2930
2.99 D 3.2309 3.2378
3.00 D 3.0544 2.7288
3.01 D 3.2285 3.2036
3.02 D 3.0636 2.9576
3.03 D 3.3500 3.1046
3.04 D 3.3386 3.1955
3.05 D 2.8602 3.1927
3.06 D 3.4675 3.1572
3.07 D 3.0262 3.5334
3.08 D 3.0861 3.3178
3.09 D 3.4502 3.5215
3.10 D 3.1229 3.2133
3.11 D 3.5650 3.3266
3.12 D 3.0738 2.9531
3.13 D 3.1218 3.6795
3.14 D 3.4677 3.4788
3.15 D 3.4731 3.2119
3.16 D 3.4857 3.1850
3.17 D 3.3841 2.8356
3.18 D 3.3280 2.9559
3.19 D 3.4284 3.4852
3.20 D 2.9694 2.8558
3.21 D 3.0391 3.1241
3.22 D 3.1737 2.9022
3.23 D 3.7595 2.9376
3.24 D 3.5058 2.7584
3.25 D 3.2844 3.3332
3.26 D 3.5573 3.1282
3.27 D 3.3789 2.8776
3.28 D 3.3293 3.0252
3.29 D 3.0604 2.8906
3.30 D 3.2616 3.2881
3.31 D 3.4278 2.9565
3.32 D 3.4069 2.7338
3.33 D 3.1902 2.9934
3.34 D 2.8572 3.0779
3.35 D 3.6143 3.4102
3.36 D 3.5553 3.5489
3.37 D 3.1711 3.1868
3.38 D 3.0062 3.6276
3.39 D 3.0625 3.4664
3.40 D 3.6563 3.3719
3.41 D 3.1133 3.5028
3.42 D 3.2844 3.3224
3.43 D 3.4430 3.1731
3.44 D 3.0765 3.4230
3.45 D 3.4147 3.2447
3.46 D 3.2956 3.2575
3.47 D 3.0510 3.1423
3.48 D 2.9777 3.2450
3.49 D 3.0621 3.2371
3.50 D 3.3040 3.2275
3.51 D 2.9519 3.3377
3.52 D 3.5184 3.1831
3.53 D 3.2393 3.2652
3.54 D 3.1054 3.2737
