#Frame   LVTKL[native] LVTKL[nonnative] LVTKL[mindist] LVTKL[maxdist]
       1            23                0         3.0478        16.7559
       2            11                6         3.3941        18.7500
       3            11                5         3.0464        19.0038
       4             8                8         3.1895        17.6525
       5             8                8         3.2119        15.3923
       6             8               17         3.1158        15.4887
       7             6               13         3.1509        16.0306
       8             9               12         3.2436        16.3374
       9            12               18         3.2375        15.9871
      10            11               10         3.2572        17.0193
      11             6               14         3.0987        16.1133
      12             4                3         3.4177        18.3836
      13             6               10         3.1963        17.8776
      14             8               15         3.3312        17.9098
      15             5               30         3.4335        18.3161
      16             4               15         3.1388        17.6380
      17             2               20         3.5332        18.0522
      18             3               16         3.4528        18.2707
      19             2               12         3.4957        18.6269
      20             3               18         3.2770        18.5039
      21             5               18         3.3775        17.9676
      22             0                9         3.2172        17.1633
      23             4               13         3.3530        17.4422
      24             5               28         3.0723        17.4635
      25             5               22         3.3279        18.0862
      26             4               26         3.1751        17.5287
      27             5               27         3.2893        17.1993
      28             3               20         3.3299        17.6639
      29             2               10         3.5872        17.3172
      30             4               22         2.9827        16.9999
      31             4               21         3.3266        17.3617
      32             4               15         3.2435        18.0642
      33             4               20         3.0386        16.9292
      34             3                9         3.2730        17.8665
      35             5               23         3.3708        18.5032
      36             5               27         3.1111        17.6160
      37             2               16         2.9007        18.0266
      38             5               16         2.9831        17.3059
      39             2               19         3.3632        17.0757
      40             2                7         3.6203        17.5356
      41             5               29         3.1179        17.1937
      42             4               15         3.0799        17.9596
      43             2               14         3.3238        18.9199
      44             2                9         2.9972        17.0345
      45             2               13         3.1714        18.0494
      46             4               16         2.9754        18.4875
      47             3               11         3.4778        17.0689
      48             7               14         2.8685        17.6692
      49             6               13         3.2516        17.5836
      50             6                5         3.2138        17.3457
      51             7               29         3.2182        18.1295
      52             4               17         3.2687        18.4854
      53             6               18         3.0917        18.9772
      54             3               14         3.3843        18.8237
      55             6               33         3.3023        18.9919
      56             2                6         3.5901        19.4945
      57             4               24         3.0903        19.6232
      58             4               23         3.2092        18.8497
      59             3               14         3.4292        18.3332
      60             3               13         3.3186        18.0657
      61             4               26         3.3638        18.4802
      62             5               18         3.1509        17.7361
      63             3               17         3.6158        18.5883
      64             5               25         3.1412        17.6068
      65             5               33         3.2811        17.9445
      66             4               27         3.0596        17.8309
      67             2               12         3.2694        16.6153
      68             2               12         3.4782        18.1140
      69             2               10         3.1833        18.0479
      70             5               19         3.3135        18.3139
      71             2               11         3.3578        18.5591
      72             2               14         3.3472        18.0960
      73             6               23         3.3078        17.2161
      74             4               27         3.4078        18.1902
      75             4               23         3.2220        18.6413
      76             6               22         3.0044        17.8770
      77             2               25         3.1761        19.0298
      78             3               11         3.4349        19.1698
      79             4               15         3.4939        19.9844
      80             6                9         3.3117        19.0107
      81             2               11         3.2165        20.2571
      82             8               21         3.2282        19.8049
      83             7               20         3.3721        19.1739
      84             8               13         3.1460        17.7154
      85             5               18         3.0202        19.6445
      86             7               22         2.9017        19.2447
      87             2               12         3.4906        19.4176
      88             5               21         3.2908        17.7192
      89             5               12         3.2346        18.0285
      90             5               22         3.0707        17.7374
      91             3               21         3.3382        17.8112
      92             6               25         3.3641        16.7878
      93             6               22         3.0962        17.5639
      94             4               16         2.9766        17.2405
      95             4               17         3.0654        16.4479
      96             3               12         3.4816        17.5414
      97             3               23         3.0353        17.4816
      98             3                4         3.3393        18.2803
      99             4               22         3.3621        18.4465
     100             3               14         3.3020        18.5067
     101             4               12         3.3374        17.7426
     102             3               18         2.9334        17.7263
     103             4               21         3.1581        18.7570
     104             3               19         3.2997        17.7059
     105             3               29         3.2378        18.0342
     106             4               20         3.3567        17.2133
     107             1                6         3.5769        16.6299
     108             3               10         3.2250        17.4977
     109             3                9         3.3179        19.0620
     110             3               12         3.4819        18.0359
     111             4               27         3.2600        18.2457
     112             6               16         3.1313        19.0794
     113             3               18         3.2778        18.8542
     114             1               11         3.6332        18.6561
     115             5               29         3.1000        18.3901
     116             3               16         3.2870        19.3673
     117             3               11         3.3622        19.4422
     118             5               28         3.3578        18.3124
     119             4               23         3.2472        17.8980
     120             6               13         3.2391        17.9576
     121             4               30         3.1895        18.2020
     122             5               21         3.0588        17.6226
     123             2               25         2.9060        18.2327
     124             5               26         3.1302        18.6410
     125             3               20         3.1809        18.4355
     126             4               22         3.1965        18.4139
     127             4               25         3.1580        18.4675
     128             5               10         3.2485        19.2290
     129             1               15         3.4620        18.8095
     130             3               19         3.3504        18.8806
     131             5               32         3.2115        19.1886
     132             1               13         3.3068        20.2230
     133             2               26         3.1751        20.3087
     134             4               17         3.2018        18.9055
     135             3               19         3.1178        19.3722
     136             4               27         3.1905        18.2655
     137             4               16         3.1686        18.5554
     138             5               18         3.1778        18.8591
     139             5               17         3.2580        18.7421
     140             4               12         3.1462        18.8724
     141             5               22         3.2489        19.0152
     142             2               11         3.4995        20.4840
     143             0               18         3.2508        20.3742
     144             2               19         2.9888        20.5943
     145             0               14         3.4209        20.8198
     146             2               14         3.4495        18.7870
     147             3               19         3.3785        19.0859
     148             2                6         3.5594        18.0291
     149             5               21         3.2727        18.3921
     150             3               19         3.3290        18.0289
     151             4               23         3.2186        17.7542
     152             6               32         3.1870        18.5571
     153             3               21         3.2615        18.5322
     154             3               29         3.2072        18.2690
     155             2               14         3.5478        18.2583
     156             4               28         3.1568        19.4636
     157             4               30         3.0156        17.7335
     158             6               26         3.1227        18.7074
     159             2               16         3.1905        18.8941
     160             4                9         3.3046        18.5201
     161             3               10         3.0036        18.0037
     162             4               11         3.3202        16.7220
     163             4               11         3.1444        17.3173
     164             2                9         3.4021        17.9966
     165             4               13         3.2678        16.6252
     166             5               12         3.2016        16.8462
     167             3               13         3.3173        17.7611
     168             2               15         3.3736        18.7005
     169             2               15         3.4720        17.9863
     170             4               13         3.3485        17.8743
     171             2                9         3.3820        18.2034
     172             4               17         3.0582        18.1655
     173             2                7         3.4477        18.4154
     174             3               19         3.3606        17.6458
     175             2               12         3.3907        16.3158
     176             4               18         3.0021        17.7814
     177             2               16         3.0935        19.0257
     178             2               13         3.3180        18.8897
     179             2               12         2.8832        20.3416
     180             4                6         3.3579        19.2543
     181             3               19         3.2032        18.7449
     182             0               12         3.3099        18.7887
     183             0                9         3.0442        18.4992
     184             0               15         3.0334        18.5070
     185             1               30         2.8774        18.3045
     186             0               21         3.4835        18.8382
     187             0                9         3.2954        19.6813
     188             0               12         3.0139        19.8582
     189             0                7         3.1322        20.6942
     190             0                7         3.3306        19.3956
     191             0                8         3.2674        20.1436
     192             0                8         3.4767        20.3436
     193             0               25         3.3590        19.4410
     194             0               22         3.2604        19.6982
     195             0                8         3.6725        19.6774
     196             0                8         3.3669        21.1596
