cluster,population,medoid,contains_COMBO_011_R28
1,39,COMBO_025_R09,Yes
2,28,COMBO_030_R30,No
3,26,COMBO_044_R12,No
4,25,COMBO_044_R05,No
5,23,COMBO_031_R19,No
6,6,COMBO_031_R27,No
7,2,COMBO_025_R05,No
8,1,COMBO_025_R03,No
